Ticker,31-Jan-22,30-Apr-22,31-Jul-22,31-Oct-22,31-Jan-23,30-Apr-23,31-Jul-23,31-Oct-23,31-Jan-24,30-Apr-24,31-Jul-24,31-Jan-25,30-Apr-25,31-Jul-25,31-Oct-25
IX,1.226,-11.956,-28.316,-14.2,3.413,7.179,18.356,11.104,19.158,14.657,22.057,41.59618088,12.27880806,8.975103922,4.897356409
IXAQF,5.299384613,7.385588113,0.1,5.199,6.205,9.109,9.89,8.527,9.651,6.215,5.275484613,14.51176736,4.448113773,2.314482893,0.986249463
IZEA,-63.83,-58.459,-67.241,-60.783,-40.172,-41.742,-15.038,-16.283,-23.517,-2.358,26.549,-92.23113578,-13.19079387,-92.68224965,65.7883383
JACK,-12.754,-42.701,-21.969,-23.398,-1.879,42.542,7.658,-3.299,-15.514,-44.464,-39.255,-56.26690847,-19.76181026,11.20420168,28.74487754
JAGX,-89.163,-93.559,-91.327,-96.137,-89.50567843,-89.50567843,-89.50567843,-93.186,-98.959,-96.666,-95.033,-110.9509314,-30.07585286,-26.46873179,-28.17061492
JAKK,21.95032741,20.91066194,20.91066194,54.103,79.388,-12.028,52.954,14.467,9.752,10.162,7.229,-14.26913958,7.348758968,3.174291076,2.705224042
JAMF,-24.342,-17.889,-37.772,-37.839,-24.927,-26.454,-18.95,-3.058,-12.344,-17.733,-18.071918,4.474391718,-9.153725339,-15.01810308,-16.30335155
JANX,1091.185828,-61.196,-25.033,-16.429,30.333,-4.735,-61.298,182.541,435.113,197.304,736.738,1560.130586,2047.956632,3354.094885,5450.860764
JAZZ,-1.729,-11.569,6.061,2.84,-13.276,-12.304,-8.4,-7.693,-12.409,-14,-7.143,-24.91205275,-37.46423547,-47.92883022,-22.03962678
JBGS,-19.44813365,-14.06592439,-33.765,-34.058,-45.712,-31.181,-29.733,-11.813,-3.875,1.722,31.113,16.64275611,2.096934512,-4.398577553,-7.639693487
JBHT,-2.28,7.038,-12.504,-6.4,3.033,9.189,-4.196,16.089,4.691,-14.277,5.332,16.01135718,31.26029432,35.03168682,36.07290893
JBI,-24.939,-14.146,-22.812,-15.327,-6.632,-11.553,-2.912,45.483,7.526,-2.259,-25.381,41.77977204,-0.610106767,1.820570306,2.19755464
JBL,16.67,-12.487,5.015,-2.018,34.628,111.255,93.2,88.835,59.389,1.927,-0.184,61.30071629,-13.0310508,2.119845426,10.03091055
JBLU,-45.923,-41.312,-47.127,-45.948,-35.15,-17.915,-51.358,-26.602,-12.101,-6.526,61.436,-31.64139888,17.41519138,1.97377597,6.27037322
JBSS,-5.478,-17.982,10.04286142,10.04286142,27.322,40.258,15.461,25.051,13.795,-0.475,-1.116,3.592614201,14.92313942,19.43207041,22.61980316
JBT,-18.909,-23.38,-37.354,4.763,-10.815,-0.516,8.146,-9.65,9.959,-11.948,12.038,61.68440488,128.2140274,170.324188,160.6398591
JCI,-9.336,-23.509,-0.939069464,-8.241,9.855,16.328,-18.524,-17.887,3.64,12.573,10.44359441,25.71030536,39.23283719,41.13350773,31.31059919
JCTC,-37.311,-34.208,-45.195,-33.526,-17.674,-41.718,-20.139,6.783,-3.485,29.474,3.787485326,8.175585324,70.21769697,59.09585058,2.915305706
